AMOUNT,APPTXNMOD,AUTH_CODE_AC,BANK_NAME_2H,CARD_TYPE_CT,DATE_TIME_DT,INVOICE_IN,LAST4CARDNO,MRCHNT_ID_MID,PMS_MODULE,PMS_NUMBER,PMS_SYSTEM_DT,RESP_CODE_RC,RETRIEVAL_REF_NUM_RRN,SERVICE_PROVIDER_2H,TERM_ID_TID,TRANSAC_TYPE,ZONE
3,514479783572128635,-,NQRD,QRD,2025-02-07,-,0000,UJN,PWB BOOKING,1008646987,2025-02-07,S,593405360361,Master,QRD,RECPT,8
445,686837784431290436,-,NQRD,QRD,2025-02-05,-,0000,RTM,PWB BOOKING,2022236389,2025-02-05,S,593599818855,Master,QRD,RECPT,8
1790,207882087629456639,-,NQRD,QRD,2025-02-11,-,0000,NAD,PWB BOOKING,2022280318,2025-02-11,S,613757583826,Master,QRD,RECPT,8
1487,719861563494678794,-,NQRD,QRD,2025-02-08,-,0000,GIMB,PWB BOOKING,2022258210,2025-02-08,S,614253040526,Master,QRD,RECPT,8
291,504004666886521426,-,NQRD,QRD,2025-02-11,-,0000,DHD,PWB BOOKING,2022281112,2025-02-11,S,614892011086,Master,QRD,RECPT,8
854,530987534466989123,-,NQRD,QRD,2025-02-12,-,0000,BDTS,PWB BOOKING,2022292428,2025-02-12,S,635532951950,Master,QRD,RECPT,8
32,583682625786323544,-,NQRD,QRD,2025-02-10,-,0000,RTM,PWB BOOKING,1008657017,2025-02-10,S,635533419114,Master,QRD,RECPT,8
101,860206086116878804,-,NQRD,QRD,2025-02-07,-,0000,ST,PWB DELIVERY,9000378782,2025-02-07,S,635662588189,Master,QRD,RECPT,8
5723,321222312439697822,-,NQRD,QRD,2025-02-07,-,0000,INDB,PWB BOOKING,2022252404,2025-02-07,S,636070516044,Master,QRD,RECPT,8
133,725504592462216205,-,NQRD,QRD,2025-02-07,-,0000,DADN,PWB BOOKING,2022249270,2025-02-07,S,636153443221,Master,QRD,RECPT,8
638,582462138365337044,-,NQRD,QRD,2025-02-10,-,0000,GIMB,PWB BOOKING,1008655895,2025-02-10,S,540758556305,Master,QRD,RECPT,8
76,683354539316479225,-,NQRD,QRD,2025-02-10,-,0000,ADI,PWB DELIVERY,9000413327,2025-02-10,S,540758617637,Master,QRD,RECPT,8
1173,475640207643345176,-,NQRD,QRD,2025-02-10,-,0000,OKHA,PWB BOOKING,1008655483,2025-02-10,S,540758767111,Master,QRD,RECPT,8
419,885782041688442001,-,NQRD,QRD,2025-02-10,-,0000,MSH,PWB BOOKING,1008656301,2025-02-10,S,540759048800,Master,QRD,RECPT,8
1920,692556088497385686,-,NQRD,QRD,2025-02-10,-,0000,ST,PWB BOOKING,2022272653,2025-02-10,S,540759634445,Master,QRD,RECPT,8
2207,625496279687334877,-,NQRD,QRD,2025-02-11,-,0000,BRC,PWB BOOKING,2022281796,2025-02-11,S,540809365944,Master,QRD,RECPT,8
